Position;Const;Created;gender;Name;Known For;Birth Date
1;nm0000134;2014-03-09;M;Robert De Niro;Raging Bull;1943-08-17
2;nm0000197;2014-03-09;F;Jack Nicholson;Chinatown;1937-04-22
3;nm0000008;2014-03-09;M;Marlon Brando;Apocalypse Now;1924-04-03
4;nm0000243;2014-03-09;M;Denzel Washington;Fences;1954-12-28
5;nm0000031;2014-03-09;F;Katharine Hepburn;The Lion in Winter;1907-05-12
6;nm0000007;2015-08-13;M;Humphrey Bogart;Casablanca;1899-12-25
7;nm0000658;2014-03-09;F;Meryl Streep;Out of Africa;1949-06-22
8;nm0000358;2014-03-09;M;Daniel Day-Lewis;There Will Be Blood;1957-04-29
9;nm0001627;2014-03-09;M;Sidney Poitier;In the Heat of the Night;1927-02-20
10;nm0000022;2015-08-13;M;Clark Gable;It Happened One Night;1901-02-01
11;nm0000006;2014-03-09;F;Ingrid Bergman;Casablanca;1915-08-29
12;nm0000158;2014-03-09;M;Tom Hanks;Cast Away;1956-07-09
13;nm0000072;2014-03-09;F;Elizabeth Taylor;Who's Afraid of Virginia Woolf?;1932-02-27
14;nm0000012;2014-03-09;F;Bette Davis;All About Eve;1908-04-05
15;nm0000060;2015-04-03;M;Gregory Peck;To Kill a Mockingbird;1916-04-05
16;nm0000138;2014-03-09;M;Leonardo DiCaprio;Inception;1974-11-11
17;nm0000949;2014-03-09;F;Cate Blanchett;Carol;1969-05-14
18;nm0000030;2014-03-09;F;Audrey Hepburn;Breakfast at Tiffany's;1929-05-04
19;nm0000075;2014-03-09;M;Spencer Tracy;Judgment at Nuremberg;1900-04-05
20;nm0000701;2014-03-09;F;Kate Winslet;Titanic;1975-10-05
21;nm0451321;2014-03-10;M;Shah Rukh Khan;Don 2;1965-11-02
22;nm0205626;2014-03-10;F;Viola Davis;Fences;1965-08-11
23;nm0000047;2014-03-09;F;Sophia Loren;La ciociara;1934-09-20
24;nm0000026;2014-03-09;M;Cary Grant;Charade;1904-01-18
25;nm0000046;2014-03-09;F;Vivien Leigh;A Streetcar Named Desire;1913-11-05
26;nm0000054;2014-03-09;F;Marilyn Monroe;Some Like It Hot;1926-06-01
27;nm0000059;2014-03-09;M;Laurence Olivier;Sleuth;1907-05-22
28;nm0000071;2014-08-31;M;James Stewart;Anatomy of a Murder;1908-05-20
29;nm0000537;2015-08-13;M;Steve McQueen;The Great Escape;1930-03-24
30;nm0000473;2014-03-09;F;Diane Keaton;Annie Hall;1946-01-05
31;nm0000210;2014-03-09;F;Julia Roberts;Pretty Woman;1967-10-28
32;nm0000149;2014-03-09;F;Jodie Foster;The Silence of the Lambs;1962-11-19
33;nm0000023;2014-03-09;F;Judy Garland;The Wizard of Oz;1922-06-10
34;nm0000151;2015-08-13;M;Morgan Freeman;Invictus;1937-06-01
35;nm0000056;2014-03-09;M;Paul Newman;The Hustler;1925-01-26
36;nm0000020;2014-03-09;M;Henry Fonda;12 Angry Men;1905-05-16
37;nm0000366;2014-03-10;F;Catherine Deneuve;Belle de jour;1943-10-22
38;nm0000038;2015-08-13;F;Grace Kelly;Dial M for Murder;1929-11-12
39;nm0000545;2014-03-09;F;Helen Mirren;The Queen;1945-07-26
40;nm0000010;2014-03-09;M;James Cagney;Angels with Dirty Faces;1899-07-17
41;nm0000291;2014-03-10;F;Angela Bassett;Black Panther;1958-08-16
42;nm0000136;2014-03-09;M;Johnny Depp;Sweeney Todd: The Demon Barber of Fleet Street;1963-06-09
43;nm0001256;2014-03-09;F;Greta Garbo;Ninotchka;1905-09-18
44;nm0000014;2014-03-09;F;Olivia de Havilland;The Heiress;1916-07-01
45;nm0000122;2014-03-09;M;Charles Chaplin;The Great Dictator;1889-04-16
46;nm0361697;2014-03-10;F;Setsuko Hara;Banshun;1920-06-17
47;nm0000267;2014-03-09;F;Julie Andrews;The Sound of Music;1935-10-01
48;nm0001050;2014-03-10;M;Montgomery Clift;From Here to Eternity;1920-10-17
49;nm0001376;2014-03-10;F;Isabelle Huppert;Elle;1953-03-16
50;nm0000199;2014-03-09;M;Al Pacino;Serpico;1940-04-25
51;nm0000028;2014-03-09;F;Rita Hayworth;Gilda;1918-10-17
52;nm0000932;2014-03-09;F;Halle Berry;Catwoman;1966-08-14
53;nm0000015;2014-03-09;M;James Dean;East of Eden;1931-02-08
54;nm0000018;2014-03-09;M;Kirk Douglas;Lust for Life;1916-12-09
55;nm0000081;2014-03-09;F;Natalie Wood;Rebel Without a Cause;1938-07-20
56;nm0000052;2014-03-10;M;Marcello Mastroianni;La dolce vita;1924-09-28
57;nm0001076;2014-03-09;F;Joan Crawford;What Ever Happened to Baby Jane?;1905-03-23
58;nm0000148;2015-08-13;M;Harrison Ford;Raiders of the Lost Ark;1942-07-13
59;nm0000215;2014-03-09;F;Susan Sarandon;Thelma & Louise;1946-10-04
60;nm0000037;2014-03-09;M;Gene Kelly;Singin' in the Rain;1912-08-23
61;nm0000335;2014-03-09;F;Glenn Close;Fatal Attraction;1947-03-19
62;nm0000021;2014-03-09;M;Joan Fontaine;Suspicion;1917-10-22
63;nm0000194;2014-03-09;F;Julianne Moore;Boogie Nights;1960-12-03
64;nm0000226;2014-03-09;M;Will Smith;The Fresh Prince of Bel-Air;1968-09-25
65;nm0000045;2014-03-10;M;Bruce Lee;Meng long guo jiang;1940-11-27
66;nm0005093;2019-11-09;F;Regina King;Ray;1971-01-15
67;nm0001401;2014-03-09;F;Angelina Jolie;Girl, Interrupted;1975-06-04
68;nm0000078;2014-03-09;M;John Wayne;True Grit;1907-05-26
69;nm0000404;2014-03-09;F;Jane Fonda;Klute;1937-12-21
70;nm0000032;2015-08-13;M;Charlton Heston;Ben-Hur;1923-10-04
71;nm0000011;2014-03-09;M;Gary Cooper;High Noon;1901-05-07
72;nm0000164;2014-03-09;M;Anthony Hopkins;The Silence of the Lambs;1937-12-31
73;nm0880521;2014-03-10;F;Liv Ullmann;Viskningar och rop;1938-12-16
74;nm0000204;2014-03-09;F;Natalie Portman;Black Swan;1981-06-09
75;nm0000367;2014-03-10;M;Gérard Depardieu;Cyrano de Bergerac;1948-12-27
76;nm0001845;2014-03-09;M;Forest Whitaker;The Last King of Scotland;1961-07-15
77;nm0000113;2014-03-09;F;Sandra Bullock;The Proposal;1964-07-26
78;nm0000039;2014-03-09;F;Deborah Kerr;The King and I;1921-09-30
79;nm0001536;2014-03-10;M;Toshirô Mifune;Yôjinbô;1920-04-01
80;nm0000163;2014-03-09;M;Dustin Hoffman;Tootsie;1937-08-08
81;nm0482320;2019-04-12;M;Mohanlal;Dasharatham;1960-05-21
82;nm0000668;2014-03-09;F;Emma Thompson;Sense and Sensibility;1959-04-15
83;nm0000129;2014-03-09;M;Tom Cruise;Top Gun;1962-07-03
84;nm0000201;2014-03-09;F;Michelle Pfeiffer;What Lies Beneath;1958-04-29
85;nm0001159;2014-03-09;F;Faye Dunaway;Bonnie and Clyde;1941-01-14
86;nm0000168;2014-03-09;M;Samuel L. Jackson;Pulp Fiction;1948-12-21
87;nm0000564;2014-03-09;M;Peter O'Toole;Lawrence of Arabia;1932-08-02
88;nm0005132;2014-03-09;M;Heath Ledger;Brokeback Mountain;1979-04-04
89;nm0004851;2014-03-10;F;Penélope Cruz;Vicky Cristina Barcelona;1974-04-28
90;nm0000173;2014-03-09;F;Nicole Kidman;Moulin Rouge!;1967-06-20
91;nm1569276;2019-03-18;M;Chadwick Boseman;Black Panther;1976-11-29
92;nm0000104;2014-03-10;M;Antonio Banderas;The Mask of Zorro;1960-08-10
93;nm0000244;2014-03-09;F;Sigourney Weaver;Alien;1949-10-08
94;nm0000161;2014-03-10;F;Salma Hayek;Frida;1966-09-02
95;nm0000332;2014-03-10;M;Don Cheadle;Crash;1964-11-29
96;nm0000531;2014-03-09;F;Frances McDormand;Three Billboards Outside Ebbing, Missouri;1957-06-23
97;nm0000870;2014-03-09;F;Kathy Bates;Misery;1948-06-28
98;nm0001725;2019-04-12;M;Omar Sharif;Lawrence of Arabia;1932-04-10
99;nm0010736;2014-03-09;F;Amy Adams;Arrival;1974-08-20
100;nm0001618;2014-03-09;M;Joaquin Phoenix;Her;1974-10-28
101;nm0000313;2014-03-09;M;Jeff Bridges;The Big Lebowski;1949-12-04
102;nm0001426;2014-03-09;M;Ben Kingsley;Sexy Beast;1943-12-31
103;nm0000169;2014-03-09;M;Tommy Lee Jones;The Fugitive;1946-09-15
104;nm0000602;2014-03-09;M;Robert Redford;The Natural;1936-08-18
105;nm0000493;2015-08-13;M;Jack Lemmon;The Apartment;1925-02-08
106;nm0001626;2014-03-09;M;Christopher Plummer;Beginners;1929-12-13
107;nm0001715;2014-03-09;M;George C. Scott;Patton;1927-10-18
108;nm0000245;2014-03-09;M;Robin Williams;Mrs. Doubtfire;1951-07-21
109;nm0000686;2014-03-09;M;Christopher Walken;The Deer Hunter;1943-03-31
110;nm0000450;2015-04-03;M;Philip Seymour Hoffman;The Master;1967-07-23
111;nm0000123;2014-03-09;M;George Clooney;The Ides of March;1961-05-06
112;nm0000432;2014-03-09;M;Gene Hackman;The French Connection;1930-01-30
113;nm0000246;2014-03-09;M;Bruce Willis;Die Hard;1955-03-19
114;nm0000125;2014-03-09;M;Sean Connery;The Rock;1930-08-25
115;nm0005212;2014-03-09;M;Ian McKellen;The Lord of the Rings: The Fellowship of the Ring;1939-05-25
116;nm0000128;2019-04-12;M;Russell Crowe;Les Misérables;1964-04-07
117;nm0000195;2014-03-09;M;Bill Murray;Lost in Translation;1950-09-21
118;nm0000115;2014-03-09;M;Nicolas Cage;Face/Off;1964-01-07
119;nm0000582;2014-03-09;M;Joe Pesci;GoodFellas;1943-02-09
120;nm0000093;2014-03-09;M;Brad Pitt;Ad Astra;1963-12-18
121;nm0000126;2014-03-09;M;Kevin Costner;The Postman;1955-01-18
122;nm0000661;2015-08-13;M;Donald Sutherland;The Hunger Games: Catching Fire;1935-07-17
123;nm0000142;2014-03-09;M;Clint Eastwood;Million Dollar Baby;1930-05-31
124;nm0000140;2014-03-09;M;Michael Douglas;Wall Street;1944-09-25
125;nm0000375;2015-08-13;M;Robert Downey Jr.;Iron Man;1965-04-04
126;nm0001257;2014-03-09;F;Ava Gardner;The Night of the Iguana;1922-12-24
127;nm0000398;2014-03-09;F;Sally Field;Forrest Gump;1946-11-06
128;nm0000013;2014-03-09;F;Doris Day;Love Me or Leave Me;1922-04-03
129;nm0000511;2014-03-09;F;Shirley MacLaine;Terms of Endearment;1934-04-24
130;nm0000456;2014-03-09;F;Holly Hunter;Broadcast News;1958-03-20
131;nm0005476;2014-03-09;F;Hilary Swank;Million Dollar Baby;1974-07-30
132;nm0001055;2014-03-09;F;Claudette Colbert;It Happened One Night;1903-09-13
133;nm0000178;2014-03-09;F;Diane Lane;Unfaithful;1965-01-22
134;nm0001448;2014-03-09;F;Jessica Lange;Tootsie;1949-04-20
135;nm0841797;2014-03-09;F;Gloria Swanson;Sunset Blvd.;1899-03-27
136;nm0000002;2014-03-09;F;Lauren Bacall;To Have and Have Not;1924-09-16
137;nm0005154;2014-03-10;F;Lucy Liu;Kill Bill: Vol. 1;1968-12-02
138;nm0790454;2014-03-09;F;Norma Shearer;The Divorcee;1902-08-10
139;nm0000541;2014-03-09;F;Bette Midler;Beaches;1945-12-01
140;nm0001546;2014-03-09;F;Mary Tyler Moore;Ordinary People;1936-12-29
141;nm0536167;2014-03-09;F;Anna Magnani;Roma città aperta;1908-03-07
142;nm0001132;2014-03-09;F;Judi Dench;Skyfall;1934-12-09
143;nm0000232;2014-03-09;F;Sharon Stone;Basic Instinct;1958-03-10
144;nm0000107;2014-03-09;F;Kim Basinger;L.A. Confidential;1953-12-08
145;nm0413559;2014-03-09;F;Glenda Jackson;Women in Love;1936-05-09
146;nm0001656;2014-03-09;F;Donna Reed;It's a Wonderful Life;1921-01-27
147;nm0000193;2014-03-09;F;Demi Moore;G.I. Jane;1962-11-11
148;nm0004266;2015-08-13;F;Anne Hathaway;Les Misérables;1982-11-12
149;nm0591485;2014-03-09;F;Liza Minnelli;Cabaret;1946-03-12
150;nm0000133;2014-03-09;F;Geena Davis;Thelma & Louise;1956-01-21
151;nm0000634;2014-03-09;M;Peter Sellers;Being There;1925-09-08
152;nm0000095;2014-03-09;M;Woody Allen;Annie Hall;1935-11-30
153;nm0000154;2014-03-09;M;Mel Gibson;Braveheart;1956-01-03
154;nm0000120;2014-03-09;M;Jim Carrey;Ace Ventura: Pet Detective;1962-01-17
155;nm0000242;2014-03-09;M;Mark Wahlberg;The Fighter;1971-06-05
156;nm0000188;2014-03-09;M;Steve Martin;Roxanne;1945-08-14
157;nm0000849;2014-03-09;M;Javier Bardem;Skyfall;1969-03-01
158;nm0910607;2014-03-09;M;Christoph Waltz;Inglourious Basterds;1956-10-04
159;nm0000209;2014-03-09;M;Tim Robbins;Mystic River;1958-10-16
160;nm0000216;2014-03-09;M;Arnold Schwarzenegger;Terminator 2: Judgment Day;1947-07-30
161;nm0000230;2014-03-09;M;Sylvester Stallone;Rocky;1946-07-06
162;nm0001557;2014-03-09;M;Viggo Mortensen;The Lord of the Rings: The Return of the King;1958-10-20
163;nm0000489;2014-03-09;M;Christopher Lee;Star Wars: Episode II - Attack of the Clones;1922-05-27
164;nm0001691;2014-03-09;M;Geoffrey Rush;The King's Speech;1951-07-06
165;nm0000027;2014-03-09;M;Alec Guinness;The Bridge on the River Kwai;1914-04-02
166;nm0000009;2014-03-09;M;Richard Burton;Who's Afraid of Virginia Woolf?;1925-11-10
167;nm0000285;2014-03-09;M;Alec Baldwin;The Departed;1958-04-03
168;nm0001001;2014-03-09;M;James Caan;The Godfather;1940-03-26
169;nm0252230;2015-04-03;M;Chiwetel Ejiofor;12 Years a Slave;1977-07-10
170;nm0586568;2016-06-18;M;Mads Mikkelsen;Hannibal;1965-11-22
171;nm0001774;2014-03-09;M;Ben Stiller;Tropic Thunder;1965-11-30
172;nm0000353;2014-03-09;M;Willem Dafoe;Spider-Man;1955-07-22
173;nm0000438;2014-03-09;M;Ed Harris;Appaloosa;1950-11-28
174;nm0000172;2014-03-09;M;Harvey Keitel;Reservoir Dogs;1939-05-13
175;nm0000685;2014-03-09;M;Jon Voight;Midnight Cowboy;1938-12-29
176;nm0000106;2014-03-09;F;Drew Barrymore;Charlie's Angels;1975-02-22
177;nm0000213;2014-03-09;F;Winona Ryder;Little Women;1971-10-29
178;nm0000678;2014-03-09;F;Kathleen Turner;Romancing the Stone;1954-06-19
179;nm0000235;2014-03-09;F;Uma Thurman;Kill Bill: Vol. 1;1970-04-29
180;nm0000623;2014-03-09;F;Rene Russo;Nightcrawler;1954-02-17
181;nm0000155;2014-03-09;F;Whoopi Goldberg;Ghost;1955-11-13
182;nm0000906;2014-03-09;F;Annette Bening;American Beauty;1958-05-29
183;nm0001749;2015-08-13;F;Maggie Smith;Gosford Park;1934-12-28
184;nm0000659;2014-03-09;F;Barbra Streisand;Yentl;1942-04-24
185;nm2225369;2014-03-09;F;Jennifer Lawrence;The Hunger Games;1990-08-15
186;nm0940946;2014-03-09;F;Joanne Woodward;Rachel, Rachel;1930-02-27
187;nm0564790;2014-03-09;F;Mercedes McCambridge;Giant;1916-03-16
188;nm0001378;2014-03-09;F;Anjelica Huston;The Grifters;1951-07-08
189;nm0001848;2014-03-09;F;Dianne Wiest;The Birdcage;1946-03-28
190;nm0000443;2014-03-09;F;Goldie Hawn;Private Benjamin;1945-11-21
191;nm0001012;2014-03-09;F;Claudia Cardinale;C'era una volta il West;1938-04-15
192;nm0000569;2014-03-09;F;Gwyneth Paltrow;Shakespeare in Love;1972-09-27
193;nm0000234;2014-03-09;F;Charlize Theron;Monster;1975-08-07
194;nm0000700;2014-03-09;F;Debra Winger;Terms of Endearment;1955-05-16
195;nm0182839;2015-08-13;F;Marion Cotillard;La Môme;1975-09-30
196;nm0000207;2014-03-09;F;Christina Ricci;Casper;1980-02-12
197;nm0000300;2014-03-09;F;Juliette Binoche;The English Patient;1964-03-09
198;nm0000435;2014-03-09;F;Daryl Hannah;Wall Street;1960-12-03
199;nm0095804;2014-03-09;F;Shirley Booth;Come Back, Little Sheba;1898-08-30
200;nm0000702;2014-03-09;F;Reese Witherspoon;Wild;1976-03-22
201;nm0001125;2014-03-09;M;Benicio Del Toro;Sicario;1967-02-19
202;nm0000102;2014-03-09;M;Kevin Bacon;Footloose;1958-07-08
203;nm0000664;2014-03-09;M;Patrick Swayze;Dirty Dancing;1952-08-18
204;nm0000323;2014-03-09;M;Michael Caine;The Dark Knight;1933-03-14
205;nm0000380;2015-04-03;M;Robert Duvall;The Apostle;1931-01-05
206;nm0000044;2014-03-09;M;Burt Lancaster;From Here to Eternity;1913-11-02
207;nm0000053;2014-03-09;M;Robert Mitchum;Out of the Past;1917-08-06
208;nm0268199;2014-03-09;M;Colin Farrell;The Lobster;1976-05-31
209;nm0000034;2014-03-09;M;William Holden;Stalag 17;1918-04-17
210;nm0000064;2014-03-09;M;Edward G. Robinson;Double Indemnity;1893-12-12
211;nm0001635;2014-03-09;M;William Powell;The Thin Man;1892-07-29
212;nm0001467;2014-03-09;M;Jared Leto;Dallas Buyers Club;1971-12-26
213;nm0001224;2014-03-09;M;Errol Flynn;The Adventures of Robin Hood;1909-06-20
214;nm0000050;2014-03-09;M;Groucho Marx;A Night at the Opera;1890-10-02
215;nm0000051;2014-03-09;M;James Mason;Lolita;1909-05-15
216;nm0000036;2014-03-09;M;Buster Keaton;The General;1895-10-04
217;nm0000080;2014-03-09;M;Orson Welles;Citizen Kane;1915-05-06
218;nm0000001;2014-03-09;M;Fred Astaire;The Towering Inferno;1899-05-10
219;nm0177896;2014-03-09;M;Bradley Cooper;A Star Is Born;1975-01-05
220;nm0000198;2019-03-19;M;Gary Oldman;The Dark Knight;1958-03-21
221;nm0000179;2014-03-09;M;Jude Law;The Talented Mr. Ripley;1972-12-29
222;nm0316079;2014-03-09;M;Paul Giamatti;Sideways;1967-06-06
223;nm0000553;2014-03-09;M;Liam Neeson;Kinsey;1952-06-07
224;nm0000354;2019-04-12;M;Matt Damon;Good Will Hunting;1970-10-08
225;nm1055413;2014-03-09;M;Michael Fassbender;Shame;1977-04-02
226;nm0000993;2014-03-09;F;Carol Burnett;The Carol Burnett Show;1933-04-26
227;nm0001788;2014-03-09;F;Jessica Tandy;Driving Miss Daisy;1909-06-07
228;nm0000166;2014-03-09;F;Helen Hunt;As Good as It Gets;1963-06-15
229;nm0000099;2015-03-08;F;Patricia Arquette;True Romance;1968-04-08
230;nm0000544;2014-03-09;F;Carmen Miranda;The Gang's All Here;1909-02-09
231;nm0005028;2014-03-09;F;Kate Hudson;Almost Famous;1979-04-19
232;nm0001876;2014-03-09;F;Catherine Zeta-Jones;Chicago;1969-09-25
233;nm0000139;2014-03-09;F;Cameron Diaz;Vanilla Sky;1972-08-30
234;nm0001666;2014-03-09;F;Debbie Reynolds;Singin' in the Rain;1932-04-01
235;nm0000995;2014-03-09;F;Ellen Burstyn;Requiem for a Dream;1932-12-07
236;nm0000058;2014-03-09;F;Maureen O'Hara;Miracle on 34th Street;1920-08-17
237;nm0001485;2014-03-09;F;Myrna Loy;The Thin Man;1905-08-02
238;nm0372176;2014-03-09;F;Lena Headey;300;1973-10-03
239;nm0001057;2014-03-09;F;Toni Collette;About a Boy;1972-11-01
240;nm0001473;2014-03-09;F;Laura Linney;The Big C;1964-02-05
241;nm0000017;2014-03-09;F;Marlene Dietrich;Witness for the Prosecution;1901-12-27
242;nm0001479;2014-03-09;F;Carole Lombard;To Be or Not to Be;1908-10-06
243;nm0000795;2014-03-09;F;Jean Arthur;Mr. Smith Goes to Washington;1900-10-17
244;nm0001318;2014-03-09;F;Jean Harlow;Suzy;1911-03-03
245;nm0001677;2014-03-09;F;Ginger Rogers;Kitty Foyle;1911-07-16
246;nm0681933;2014-03-09;F;Mary Pickford;Coquette;1892-04-08
247;nm0922213;2014-03-09;F;Mae West;She Done Him Wrong;1893-08-17
248;nm0000096;2014-03-09;F;Gillian Anderson;The X Files;1968-08-09
249;nm0914612;2014-03-09;F;Emma Watson;The Perks of Being a Wallflower;1990-04-15
250;nm0000212;2014-03-09;F;Meg Ryan;When Harry Met Sally...;1961-11-19
251;nm0000273;2014-03-09;M;Alan Arkin;Argo;1934-03-26
